_id,STATION_ID,ABBREVIATION,DATETIME,VALUE
74,DAUGAVGR,HPRAB,2025-07-21T01:00:00,0
123,DAUGAVGR,HSNOW,2025-07-21T01:00:00,0
162,DAUGAVGR,HRLH,2025-07-21T01:00:00,91
177,DAUGAVGR,HPRSL,2025-07-21T01:00:00,1006.4
194,DAUGAVGR,HWDMX,2025-07-21T01:00:00,81
208,DAUGAVGR,HWDAV,2025-07-21T01:00:00,75
224,DAUGAVGR,HTDRY,2025-07-21T01:00:00,19.58
37,DAUGAVGR,HATMN,2025-07-21T01:00:00,19.2
245,DAUGAVGR,HWSMX,2025-07-21T01:00:00,3.7
4,DAUGAVGR,HATMX,2025-07-21T01:00:00,19.9
289,DAUGAVGR,HWNDS,2025-07-21T01:00:00,2.2
329,DAUGAVGR,HATMN,2025-07-21T02:00:00,18.7
398,DAUGAVGR,HPRAB,2025-07-21T02:00:00,0
407,DAUGAVGR,HATMX,2025-07-21T02:00:00,19.2
425,DAUGAVGR,HTDRY,2025-07-21T02:00:00,18.88
442,DAUGAVGR,HSNOW,2025-07-21T02:00:00,0
474,DAUGAVGR,HRLH,2025-07-21T02:00:00,93
484,DAUGAVGR,HPRSL,2025-07-21T02:00:00,1006.3
504,DAUGAVGR,HWDAV,2025-07-21T02:00:00,71
575,DAUGAVGR,HWSMX,2025-07-21T02:00:00,4.4
597,DAUGAVGR,HWNDS,2025-07-21T02:00:00,2.1
605,DAUGAVGR,HWDMX,2025-07-21T02:00:00,68
626,DAUGAVGR,HATMN,2025-07-21T03:00:00,18.5
682,DAUGAVGR,HPRSL,2025-07-21T03:00:00,1006.2
688,DAUGAVGR,HPRAB,2025-07-21T03:00:00,0
714,DAUGAVGR,HATMX,2025-07-21T03:00:00,18.8
731,DAUGAVGR,HTDRY,2025-07-21T03:00:00,18.65
742,DAUGAVGR,HSNOW,2025-07-21T03:00:00,0
763,DAUGAVGR,HRLH,2025-07-21T03:00:00,94
799,DAUGAVGR,HWDMX,2025-07-21T03:00:00,84
811,DAUGAVGR,HWDAV,2025-07-21T03:00:00,71
858,DAUGAVGR,HWSMX,2025-07-21T03:00:00,4.3
885,DAUGAVGR,HWNDS,2025-07-21T03:00:00,2.3
953,DAUGAVGR,HATMN,2025-07-21T04:00:00,18.5
990,DAUGAVGR,HPRSL,2025-07-21T04:00:00,1006.5
1008,DAUGAVGR,HPRAB,2025-07-21T04:00:00,0
1021,DAUGAVGR,HATMX,2025-07-21T04:00:00,19.2
1068,DAUGAVGR,HSNOW,2025-07-21T04:00:00,0
1085,DAUGAVGR,HRLH,2025-07-21T04:00:00,93
1134,DAUGAVGR,HWDAV,2025-07-21T04:00:00,69
1145,DAUGAVGR,HTDRY,2025-07-21T04:00:00,18.77
1171,DAUGAVGR,HWSMX,2025-07-21T04:00:00,4.6
1192,DAUGAVGR,HWNDS,2025-07-21T04:00:00,2.1
1226,DAUGAVGR,HWDMX,2025-07-21T04:00:00,65
1240,DAUGAVGR,HATMN,2025-07-21T05:00:00,18.9
1302,DAUGAVGR,HPRAB,2025-07-21T05:00:00,0
1339,DAUGAVGR,HATMX,2025-07-21T05:00:00,19.5
1351,DAUGAVGR,HSNOW,2025-07-21T05:00:00,0
1377,DAUGAVGR,HRLH,2025-07-21T05:00:00,94
1404,DAUGAVGR,HPRSL,2025-07-21T05:00:00,1006.6
1445,DAUGAVGR,HWDAV,2025-07-21T05:00:00,41
1463,DAUGAVGR,HTDRY,2025-07-21T05:00:00,19.17
1472,DAUGAVGR,HWSMX,2025-07-21T05:00:00,4.3
1506,DAUGAVGR,HWNDS,2025-07-21T05:00:00,2.7
1527,DAUGAVGR,HWDMX,2025-07-21T05:00:00,48
1560,DAUGAVGR,HATMN,2025-07-21T06:00:00,19.2
