_id,STATION_ID,ABBREVIATION,DATETIME,VALUE
43,RIGASLU,CCTMX,2025-07-21T00:00:00,0
18,RIGASLU,HATMN,2025-07-21T01:00:00,19.8
130,RIGASLU,HSNOW,2025-07-21T01:00:00,0
169,RIGASLU,HRLH,2025-07-21T01:00:00,86
55,RIGASLU,HPRSL,2025-07-21T01:00:00,1006.5
81,RIGASLU,HPRAB,2025-07-21T01:00:00,0
215,RIGASLU,HWDAV,2025-07-21T01:00:00,78
231,RIGASLU,HTDRY,2025-07-21T01:00:00,20.23
252,RIGASLU,HWSMX,2025-07-21T01:00:00,5.4
296,RIGASLU,HWNDS,2025-07-21T01:00:00,2.8
304,RIGASLU,HWDMX,2025-07-21T01:00:00,87
351,RIGASLU,CCTMX,2025-07-21T01:00:00,0
103,RIGASLU,HATMX,2025-07-21T01:00:00,20.5
481,RIGASLU,HRLH,2025-07-21T02:00:00,89
336,RIGASLU,HATMN,2025-07-21T02:00:00,19.3
362,RIGASLU,HPRSL,2025-07-21T02:00:00,1006.3
405,RIGASLU,HPRAB,2025-07-21T02:00:00,0
414,RIGASLU,HATMX,2025-07-21T02:00:00,19.8
449,RIGASLU,HSNOW,2025-07-21T02:00:00,0
511,RIGASLU,HWDAV,2025-07-21T02:00:00,73
539,RIGASLU,HTDRY,2025-07-21T02:00:00,19.52
557,RIGASLU,HWSMX,2025-07-21T02:00:00,6.4
604,RIGASLU,HWNDS,2025-07-21T02:00:00,3.1
612,RIGASLU,HWDMX,2025-07-21T02:00:00,90
656,RIGASLU,CCTMX,2025-07-21T02:00:00,2
965,RIGASLU,CCTMX,2025-07-21T03:00:00,1
695,RIGASLU,HPRAB,2025-07-21T03:00:00,0
721,RIGASLU,HATMX,2025-07-21T03:00:00,19.2
749,RIGASLU,HSNOW,2025-07-21T03:00:00,0
770,RIGASLU,HRLH,2025-07-21T03:00:00,90
790,RIGASLU,HPRSL,2025-07-21T03:00:00,1006.3
806,RIGASLU,HWDMX,2025-07-21T03:00:00,75
818,RIGASLU,HWDAV,2025-07-21T03:00:00,74
841,RIGASLU,HTDRY,2025-07-21T03:00:00,19.07
865,RIGASLU,HWSMX,2025-07-21T03:00:00,5.4
892,RIGASLU,HWNDS,2025-07-21T03:00:00,2.8
633,RIGASLU,HATMN,2025-07-21T03:00:00,19
1092,RIGASLU,HRLH,2025-07-21T04:00:00,89
933,RIGASLU,HATMN,2025-07-21T04:00:00,19
974,RIGASLU,HPRSL,2025-07-21T04:00:00,1006.6
1015,RIGASLU,HPRAB,2025-07-21T04:00:00,0
1029,RIGASLU,HATMX,2025-07-21T04:00:00,19.6
1049,RIGASLU,HSNOW,2025-07-21T04:00:00,0
1105,RIGASLU,HWDMX,2025-07-21T04:00:00,77
1141,RIGASLU,HWDAV,2025-07-21T04:00:00,79
1152,RIGASLU,HTDRY,2025-07-21T04:00:00,19.18
1178,RIGASLU,HWSMX,2025-07-21T04:00:00,5.6
1199,RIGASLU,HWNDS,2025-07-21T04:00:00,2.6
1269,RIGASLU,CCTMX,2025-07-21T04:00:00,0
1247,RIGASLU,HATMN,2025-07-21T05:00:00,19.6
1283,RIGASLU,HPRSL,2025-07-21T05:00:00,1006.6
1309,RIGASLU,HPRAB,2025-07-21T05:00:00,0
1358,RIGASLU,HSNOW,2025-07-21T05:00:00,0
1384,RIGASLU,HRLH,2025-07-21T05:00:00,84
1429,RIGASLU,HWDAV,2025-07-21T05:00:00,80
1470,RIGASLU,HTDRY,2025-07-21T05:00:00,20.13
1478,RIGASLU,HWSMX,2025-07-21T05:00:00,5
1513,RIGASLU,HWNDS,2025-07-21T05:00:00,2.7
1533,RIGASLU,HWDMX,2025-07-21T05:00:00,89
1578,RIGASLU,CCTMX,2025-07-21T05:00:00,1
1231,RIGASLU,HATMX,2025-07-21T05:00:00,20.7
1567,RIGASLU,HATMN,2025-07-21T06:00:00,20.6
1634,RIGASLU,HPRAB,2025-07-21T06:00:00,0
1665,RIGASLU,HSNOW,2025-07-21T06:00:00,0
1694,RIGASLU,HRLH,2025-07-21T06:00:00,79
1714,RIGASLU,HPRSL,2025-07-21T06:00:00,1006.8
1728,RIGASLU,HWDMX,2025-07-21T06:00:00,72
1756,RIGASLU,HWDAV,2025-07-21T06:00:00,73
1764,RIGASLU,HTDRY,2025-07-21T06:00:00,21.23
1796,RIGASLU,HWSMX,2025-07-21T06:00:00,4.2
1811,RIGASLU,HWNDS,2025-07-21T06:00:00,2.1
1885,RIGASLU,CCTMX,2025-07-21T06:00:00,5
1542,RIGASLU,HATMX,2025-07-21T06:00:00,21.8
1858,RIGASLU,HATMN,2025-07-21T07:00:00,21.1
2137,RIGASLU,HWNDS,2025-07-21T07:00:00,1.7
2192,RIGASLU,CCTMX,2025-07-21T07:00:00,4
2112,RIGASLU,HWSMX,2025-07-21T07:00:00,4
1906,RIGASLU,HPRSL,2025-07-21T07:00:00,1006.8
1924,RIGASLU,HPRAB,2025-07-21T07:00:00,0
1969,RIGASLU,HSNOW,2025-07-21T07:00:00,0
2005,RIGASLU,HRLH,2025-07-21T07:00:00,78
2031,RIGASLU,HWDMX,2025-07-21T07:00:00,85
2053,RIGASLU,HWDAV,2025-07-21T07:00:00,49
2073,RIGASLU,HTDRY,2025-07-21T07:00:00,21.83
1847,RIGASLU,HATMX,2025-07-21T07:00:00,23.1
2450,RIGASLU,HWDMX,2025-07-21T08:00:00,92
2168,RIGASLU,HATMN,2025-07-21T08:00:00,21.5
2211,RIGASLU,HPRSL,2025-07-21T08:00:00,1007.1
2233,RIGASLU,HPRAB,2025-07-21T08:00:00,0
2255,RIGASLU,HATMX,2025-07-21T08:00:00,22.8
2279,RIGASLU,HSNOW,2025-07-21T08:00:00,0
2309,RIGASLU,HRLH,2025-07-21T08:00:00,75
2366,RIGASLU,HWDAV,2025-07-21T08:00:00,77
2388,RIGASLU,HTDRY,2025-07-21T08:00:00,22.2
2394,RIGASLU,HWSMX,2025-07-21T08:00:00,4.3
2416,RIGASLU,HWNDS,2025-07-21T08:00:00,1.5
2505,RIGASLU,CCTMX,2025-07-21T08:00:00,7
2494,RIGASLU,HATMN,2025-07-21T09:00:00,22.6
2511,RIGASLU,HPRSL,2025-07-21T09:00:00,1007.3
2542,RIGASLU,HPRAB,2025-07-21T09:00:00,0
2570,RIGASLU,HATMX,2025-07-21T09:00:00,23.6
2599,RIGASLU,HSNOW,2025-07-21T09:00:00,0
2626,RIGASLU,HRLH,2025-07-21T09:00:00,70
2663,RIGASLU,HWDAV,2025-07-21T09:00:00,116
2687,RIGASLU,HTDRY,2025-07-21T09:00:00,23.23
2706,RIGASLU,HWSMX,2025-07-21T09:00:00,3.7
2761,RIGASLU,HWDMX,2025-07-21T09:00:00,77
2814,RIGASLU,CCTMX,2025-07-21T09:00:00,7
2751,RIGASLU,HWNDS,2025-07-21T09:00:00,1.6
2782,RIGASLU,HATMN,2025-07-21T10:00:00,22.8
2835,RIGASLU,HPRSL,2025-07-21T10:00:00,1007.3
2856,RIGASLU,HPRAB,2025-07-21T10:00:00,0
2866,RIGASLU,HATMX,2025-07-21T10:00:00,23.6
2883,RIGASLU,HTDRY,2025-07-21T10:00:00,23.17
2910,RIGASLU,HSNOW,2025-07-21T10:00:00,0
2933,RIGASLU,HRLH,2025-07-21T10:00:00,74
2945,RIGASLU,HWDMX,2025-07-21T10:00:00,284
2967,RIGASLU,HWDAV,2025-07-21T10:00:00,322
3014,RIGASLU,HWSMX,2025-07-21T10:00:00,4.8
3043,RIGASLU,HWNDS,2025-07-21T10:00:00,2.2
3119,RIGASLU,CCTMX,2025-07-21T10:00:00,7
3375,RIGASLU,HWDMX,2025-07-21T11:00:00,350
3141,RIGASLU,HPRSL,2025-07-21T11:00:00,1007.3
3157,RIGASLU,HPRAB,2025-07-21T11:00:00,0
3176,RIGASLU,HATMX,2025-07-21T11:00:00,24.7
3204,RIGASLU,HSNOW,2025-07-21T11:00:00,0
3241,RIGASLU,HRLH,2025-07-21T11:00:00,68
3274,RIGASLU,HWDAV,2025-07-21T11:00:00,11
3304,RIGASLU,HTDRY,2025-07-21T11:00:00,23.92
3327,RIGASLU,HWSMX,2025-07-21T11:00:00,3.7
3348,RIGASLU,HWNDS,2025-07-21T11:00:00,1.5
3676,RIGASLU,CCTMX,2025-07-21T11:00:00,7
3096,RIGASLU,HATMN,2025-07-21T11:00:00,23.2
3421,RIGASLU,HWNDS,2025-07-21T12:00:00,2.5
3390,RIGASLU,HWSMX,2025-07-21T12:00:00,5.7
3451,RIGASLU,HWDMX,2025-07-21T12:00:00,325
3467,RIGASLU,HWDAV,2025-07-21T12:00:00,354
3493,RIGASLU,HTDRY,2025-07-21T12:00:00,23.87
3526,RIGASLU,HSNOW,2025-07-21T12:00:00,0
3564,RIGASLU,HRLH,2025-07-21T12:00:00,72
3591,RIGASLU,HPRSL,2025-07-21T12:00:00,1007.2
3603,RIGASLU,HPRAB,2025-07-21T12:00:00,0
3636,RIGASLU,HATMX,2025-07-21T12:00:00,24.1
3664,RIGASLU,HATMN,2025-07-21T12:00:00,23.6
3726,RIGASLU,CCTMX,2025-07-21T12:00:00,8
3757,RIGASLU,HPRSL,2025-07-21T13:00:00,1007
3791,RIGASLU,HATMX,2025-07-21T13:00:00,24.7
3803,RIGASLU,HTDRY,2025-07-21T13:00:00,23.93
3814,RIGASLU,HSNOW,2025-07-21T13:00:00,0
3840,RIGASLU,HRLH,2025-07-21T13:00:00,72
3706,RIGASLU,HATMN,2025-07-21T13:00:00,23.1
3874,RIGASLU,HWDMX,2025-07-21T13:00:00,352
